CookerStat, GenerateAssetRegistry=0.015881, Initialize=0.088114, RunGuid=RunIDEFD107054C3F7D00D21D7BB55878E59A
SavePackageTransactionId67414F264995A5B5605E89954B42EB41_0, Filename=../../../../../../Users/Niki/Documents/Unreal Projects/Vulkan/Content/Testlabor.umap, AutoPackageBackupDelegate=0.081711, FlushAsyncLoading=0.003584, FlushStreamingFunc=0.021260, BlockTillAllRequestsFinished=0.002563, ResetLoadersForSaveUnMarkAllObjects=0.136014, TagPackageExports=0.228483, BeginCacheForCookedPlatformData=0.001281, SerializeImports=0.608087, GatherLocalizableTextData=2.417501, MarkNames=0.030227, SerializeSummary=0.012293, SerializeNames=0.195950, SerializeGatherableTextData=0.007428, BuildExportMap=0.105020, SortExportsNonSeekfree=0.062499, SortExportsSeekfreeConstructor=0.046618, SortExportsSeekfreeInner=4.279677, SortExportsSeekfree=0.004869, BuildDependencyMap=0.033811, SerializeImportMap=0.011273, SerializeExportMap=0.008710, SerializeDependencyMap=0.005633, SerializeStringAssetReferenceMap=0.001539, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.360910, SerializeExports=0.741795, SerializeBulkData=2.689783, MoveFile=0.561982, UnaccountedTime=0.466697, RunGuid=RunIDEFD107054C3F7D00D21D7BB55878E59A
SavePackageTransactionId67414F264995A5B5605E89954B42EB41_1, Filename=../../../../../../Users/Niki/Documents/Unreal Projects/Vulkan/Content/Testlabor.umap, AutoPackageBackupDelegate=1.020741, FlushAsyncLoading=0.003330, FlushStreamingFunc=0.021260, BlockTillAllRequestsFinished=0.002049, ResetLoadersForSaveUnMarkAllObjects=0.101175, TagPackageExports=0.206199, BeginCacheForCookedPlatformData=0.001024, SerializeImports=0.515621, GatherLocalizableTextData=2.313249, MarkNames=0.022538, SerializeSummary=0.007942, SerializeNames=0.164188, SerializeGatherableTextData=0.006661, BuildExportMap=0.100408, SortExportsNonSeekfree=0.063013, SortExportsSeekfreeConstructor=0.036884, SortExportsSeekfreeInner=4.132394, SortExportsSeekfree=0.003073, BuildDependencyMap=0.026897, SerializeImportMap=0.013318, SerializeExportMap=0.009477, SerializeDependencyMap=0.005122, SerializeStringAssetReferenceMap=0.001281, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.321463, SerializeExports=0.731293, SerializeBulkData=2.596293, MoveFile=0.652403, UnaccountedTime=0.085041, RunGuid=RunIDEFD107054C3F7D00D21D7BB55878E59A
SavePackageTransactionId67414F264995A5B5605E89954B42EB41_2, Filename=../../../../../../Users/Niki/Documents/Unreal Projects/Vulkan/Content/Testlabor.umap, AutoPackageBackupDelegate=0.270233, FlushAsyncLoading=0.002306, FlushStreamingFunc=0.027664, BlockTillAllRequestsFinished=0.003841, ResetLoadersForSaveUnMarkAllObjects=0.103995, TagPackageExports=0.267927, BeginCacheForCookedPlatformData=0.001281, SerializeImports=0.676226, GatherLocalizableTextData=2.653666, MarkNames=0.024334, SerializeSummary=0.008453, SerializeNames=0.184935, SerializeGatherableTextData=0.007175, BuildExportMap=0.107322, SortExportsNonSeekfree=0.076331, SortExportsSeekfreeConstructor=0.037655, SortExportsSeekfreeInner=4.207443, SortExportsSeekfree=0.002306, BuildDependencyMap=0.029970, SerializeImportMap=0.014089, SerializeExportMap=0.009730, SerializeDependencyMap=0.002563, SerializeStringAssetReferenceMap=0.001281, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.333499, SerializeExports=0.817358, SerializeBulkData=2.497420, MoveFile=7.183343, UnaccountedTime=0.457473, RunGuid=RunIDEFD107054C3F7D00D21D7BB55878E59A
DDCTransactionIdBD0CF98B44A32452F75F9FB24E2ABFC1_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_40FDE60944D4245C80DEE0B3F9522BA8__1_0_13123_0, StartTime=2016.04.26-20.49.46, HierarchicalDDC=, DataSize=3741, Duration=1.279704, RunGuid=RunIDEFD107054C3F7D00D21D7BB55878E59A
DDCTransactionId3E5140E6429CAB841D41C8AADEA65439_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_012212A04FD195927D1EAA89C4EE4E6B__1_0_13123_0, StartTime=2016.04.26-20.49.46, HierarchicalDDC=, DataSize=2508, Duration=0.671614, RunGuid=RunIDEFD107054C3F7D00D21D7BB55878E59A
DDCTransactionId3E5140E6429CAB841D41C8AADEA65439_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6DC6A10A4B45B10BDF6852A6018A2798__1_0_13123_0, StartTime=2016.04.26-20.49.46, HierarchicalDDC=, DataSize=2950, Duration=1.271505, RunGuid=RunIDEFD107054C3F7D00D21D7BB55878E59A
DDCTransactionIdBD0CF98B44A32452F75F9FB24E2ABFC1_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2E6F800D4A41EC6A78161180824C72C7__1_0_13123_0, StartTime=2016.04.26-20.49.46, HierarchicalDDC=, DataSize=3472, Duration=0.696205, RunGuid=RunIDEFD107054C3F7D00D21D7BB55878E59A
DDCTransactionIdBD0CF98B44A32452F75F9FB24E2ABFC1_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C92673BC47C73FFFD2894191CDAEA4D8__1_0_13123_0, StartTime=2016.04.26-20.49.52, HierarchicalDDC=, DataSize=821, Duration=0.813518, RunGuid=RunIDEFD107054C3F7D00D21D7BB55878E59A
DDCTransactionId3E5140E6429CAB841D41C8AADEA65439_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_16A0AD66450F1493406088BABE351CDF__1_0_13123_0, StartTime=2016.04.26-20.49.52, HierarchicalDDC=, DataSize=5582, Duration=0.687495, RunGuid=RunIDEFD107054C3F7D00D21D7BB55878E59A
DDCTransactionId516F8CE34599D60C4812449AE663093D_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1C549F80487CDAAD6D6433A85B71E1B3__1_0_13123_0, StartTime=2016.04.26-20.49.52, HierarchicalDDC=, DataSize=499, Duration=2.431586, RunGuid=RunIDEFD107054C3F7D00D21D7BB55878E59A
DDCTransactionIdBD0CF98B44A32452F75F9FB24E2ABFC1_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7984A0764DD6E1CA74E66B9C5AB4FDD6__1_0_13123_0, StartTime=2016.04.26-20.49.52, HierarchicalDDC=, DataSize=5385, Duration=0.603478, RunGuid=RunIDEFD107054C3F7D00D21D7BB55878E59A
DDCTransactionId516F8CE34599D60C4812449AE663093D_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_292447014B0FCBB3535CE7B6C454652E__1_0_13123_0, StartTime=2016.04.26-20.49.55, HierarchicalDDC=, DataSize=821, Duration=0.814542, RunGuid=RunIDEFD107054C3F7D00D21D7BB55878E59A
DDCTransactionId3E5140E6429CAB841D41C8AADEA65439_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_47F9C54B40639BD85B17B98DD15DE09A__1_0_13123_0, StartTime=2016.04.26-20.49.55, HierarchicalDDC=, DataSize=5582, Duration=0.717718, RunGuid=RunIDEFD107054C3F7D00D21D7BB55878E59A
DDCTransactionIdBD0CF98B44A32452F75F9FB24E2ABFC1_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_54F70F7E4052AE38F1001A9ED87851D3__1_0_13123_0, StartTime=2016.04.26-20.49.55, HierarchicalDDC=, DataSize=499, Duration=1.072224, RunGuid=RunIDEFD107054C3F7D00D21D7BB55878E59A
